gene_name,number_of_reads_mapped
cpxR,58
hemN_2_hemN_3,51
cpxA_cpxA_1,50
dnaB,49
group_4080,48
pta,46
hflC,46
ilvH,45
nfuA,44
menA,44
galS,44
bamD_bamD_1,44
pldB_pldB_2,43
glcC,43
exbB_1_exbB_2,43
alaA,43
ilvE,42
group_1369,42
group_1656,41
glpK_2,41
rplF,40
ompA,40
mdh_2,40
aroK,40
yhdT,39
rpoA,39
rplC,39
mog_mog_2_mog_1,39
group_338,39
yehT_yehT_1,38
uidA:CP146653.1:2405030-2406841,38
tatD_tatD_2,38
tatC,38
satP,38
nudE,38
lexA_4,38
ibpB,38
group_755,38
group_6151,38
group_3581,38
glpR_4_glpR_5_glpR_1,38
dxr,38
nusA,37
group_1536,37
cysC,37
ygjH,36
sucD,36
rsmA,36
mtnN,36
ibpA,36
diaA,36
ybgI,35
uspA,35
udp,35
rpsK,35
nuoH,35
luxS,35
iclR,35
hslV,35
hisM,35
group_7046,35
argR,35
suhB,34
rpsE,34
rpsD,34
recX,34
leuD,34
group_747,34
gcvH,34
fdhD,34
engB,34
dnaQ,34
yhcB,33
ygaZ,33
tusD,33
trxA_1,33
sfsA,33
rplD,33
rplA,33
rnt,33
ribF,33
rbfA,33
pdhR_2,33
nei,33
mdaB,33
manX_2,33
ispG_ispG_2,33
group_519,33
gntK,33
dsrF,33
cetB,33
uspB,32
slyX,32
rsmE,32
rpsM,32
rpsI,32
rpsF,32
rplJ,32
rplE,32
rnhA_rnhA_2_rnhA_1,32
pncC_1,32
mreD,32
ispF,32
hemD,32
group_678,32
group_3589,32
group_1239,32
gph,32
dtd,32
corC_1,32
cfa,32
yqjE,31
rpsJ,31
rpsB,31
rplW,31
rplR,31
rpe_2,31
nsrR,31
ilvM,31
group_4683,31
galE,31
frr,31
can,31
arfA,31
yjaB_2,30
tsaE,30
thiS,30
slyA,30
rpsL,30
rpsG,30
rplM,30
rplL,30
priB,30
plsY,30
nadK_nadK_2,30
group_8044,30
group_800,30
group_2400,30
group_1997,30
group_1743,30
gloA,30
fucU,30
erpA,30
coaE,30
ypeA_ypeA_1,29
yjcH,29
ygaV,29
yfcE,29
yccF,29
tusB,29
sdhC,29
rpsC,29
rpmE,29
rplO,29
purC,29
nagA_1,29
mukE,29
moaC,29
group_4140,29
folE_folE_2,29
apaG,29
zapD,28
ygbE,28
ybeY,28
trpC_trpC_1,28
rpsO,28
rplK,28
rimP,28
pyrI,28
nuoB,28
murF_murF_1,28
moaB,28
fur,28
ftsL,28
feoC,28
fadR,28
exbD_2,28
dksA,28
bolA,28
bamE,28
artP,28
ybjM,27
ubiX,27
tatB,27
sdhE,27
rpsT,27
rpsR,27
rpsN,27
nrdH,27
mug,27
hfq,27
group_8038,27
group_4979,27
group_3296,27
group_154,27
dus,27
clpS,27
tatA,26
slyB,26
rpsP,26
rplN,26
iscU,26
iscR,26
iscA_1,26
hinT,26
dsbE,26
cysJ_2,26
csrA,26
ampD,26
adk,26
zapA,25
trxA_2,25
seqA,25
rsmD_rsmD_2,25
rpmD,25
ribC,25
moaE,25
kdsB,25
grpE_grpE_1_grpE_2,25
group_8049,25
group_78,25
group_4736,25
ftsB,25
fabA,25
cidA,25
ygdR_1,24
ybfF,24
rpsU,24
rpmJ,24
rplX,24
ribA,24
rfaH,24
queD,24
ompX_1,24
nuoI_2_nuoI_1,24
msrC,24
htpX,24
group_876,24
group_7810,24
group_7173,24
group_4003,24
group_3713,24
group_334,24
group_1521,24
group_145,24
glnK,24
dgkA,24
uspD_uspD_1,23
sspB,23
ndhC,23
group_2865,23
group_2461,23
group_1178,23
folB,23
rpsS,22
rplV,22
nagB_1,22
group_3752,22
gapA,22
yniC_2,21
ybgC,21
udk_udk_1,21
tusE,21
napB,21
group_799,21
fldA,21
crr,21
apt,21
yciK,20
ycdY,20
ybaB,20
Stx2e_36_AJ313016|1236nt,20
rpmC,20
pal,20
msrB,20
mntS,20
manZ_1_manZ_2,20
ihfB,20
group_7422,20
group_568,20
group_1657,20
dps,20
usg_usg_1,19
truA,19
rpsQ,19
rpmF,19
rplP,19
pyrF,19
lolD_1,19
group_744,19
group_7117,19
group_4205,19
group_2620,19
baeR_baeR_2,19
acrZ,19
group_3909,18
group_1184,18
bssS,18
ybaN,17
osmB,17
grxD,17
group_1592,17
ccmC,17
sra,16
rplT,16
menI,16
manY,16
H/H10-17-fliC/1-1263,16
group_2164,16
cnu,16
infC,15
group_7366,15
group_4687,15
group_125,15
cydX,15
minE,14
lolB,14
napC,13
group_390,13
ccmD,13
rpmI,12
rmf,12
group_4093,12
flgM,11
iscA_2,9
Stx2e_91_1706T56070:138:unpublished:138|1236nt,7
group_7622,7
Stx2l_21_GCF_015159895.1|1241nt,3
Stx2e_52_FM998838|1235nt,3
Stx2e_36_AM939642|1236nt,3
Stx2e_64_FN182286|1236nt,2
Stx2e_36_AJ567998|1236nt,2
Stx2e_133_GCA_021534925|1236nt,2
Stx2i_43_OLC3602|1242nt,1
Stx2e_31_GCF_002534745.1|1236nt,1
Stx2e_146_GCA_009949705.1|1236nt,1
Stx2e_136_GCA_021535005.1|1236nt,1
H/H10-2-fliC-origin/1-1263,1
H/H10-22-fliC/1-1263,1
H/H10-20-fliC/1-1263,1
H/H10-1-fliC-origin/1-1263,1
H/H10-19-fliC/1-1263,1
H/H10-18-fliC/1-1263,1
#rname,numreads
